,collection_name,count,mean,median,std,cluster,,
15,NFTfi Locked Bundle,122,46.84,47.00,21.50,0,,
39,CyberBrokers,41,47.09,39.00,23.45,0,,
41,Friendship Bracelets by Alexis André,817,38.37,19.00,27.38,0,,
24,Otherside Vessels,28,39.83,44.00,22.22,0,,
23,Milady,29,42.71,29.00,24.05,0,,
44,Art Blocks Curated,555,42.56,37.00,23.25,0,,
20,CyberKongz,26,46.22,39.99,18.28,0,,
50,PudgyPenguins,261,39.97,35.00,19.48,0,,
17,HV-MTL,89,47.79,49.00,19.31,0,,
52,Async Blueprints,43,43.21,35.00,18.38,0,,
14,CryptoDickbutts S3,208,40.35,39.00,11.24,0,,
12,The Potatoz,101,41.37,40.20,14.13,0,,
32,Otherdeed Expanded,66,41.64,46.50,15.15,0,,
7,Land,56,41.47,39.99,14.34,0,,
3,Cryptoadz,50,45.23,45.00,21.07,0,,
4,Valhalla,36,42.51,48.00,29.14,0,,
56,MAX PAIN AND FRENS BY XCOPY,59,44.04,49.00,28.76,0,,
53,Elemental by Fang Lijun,28,65.50,80.00,26.08,1,,
66,Ethlizards,21,83.38,90.00,17.49,1,,
27,Opepen Edition,48,71.16,75.00,48.40,1,,
64,Cold Blooded Creepz,76,62.47,55.90,26.67,1,,
25,Sandbox's LANDs,142,65.89,70.99,26.20,1,,
46,Goblinverse Island,315,76.98,78.00,20.62,1,,
6,<NA>,37,76.20,80.00,16.12,1,,
59,Nakamigos,98,65.15,79.00,48.46,1,,
29,KILLABITS,110,66.42,75.00,22.60,1,,
63,World of Women Galaxy,35,67.00,74.00,27.94,1,,
68,Sewer Pass,24,72.10,65.00,37.70,1,,
47,Wrapped Cryptopunks,350,9.07,9.00,4.34,2,,
62,Azuki,130,18.89,18.00,12.33,2,,
58,Autoglyphs,20,13.33,9.00,9.69,2,,TODO: check $ volumes per cluster
0,Art Blocks,184,15.96,9.00,13.87,2,,
30,Nina's Super Cool World,51,60.61,69.00,20.24,3,,
1,PudgyPresent,21,56.07,55.00,20.89,3,,
65,Bored Ape Kennel Club,90,50.61,40.00,30.62,3,,
61,World Of Women,109,49.42,49.00,26.90,3,,
9,Otherdeed for Otherside,331,52.27,45.00,28.49,3,,
10,Checks - VV Edition,170,56.55,45.00,27.30,3,,
11,RENGA,129,49.58,47.50,24.99,3,,
54,KILLABEARS,273,59.13,69.00,24.45,3,,
13,0N1 Force,31,49.99,45.00,33.83,3,,
16,CloneX,168,50.37,49.00,21.69,3,,
51,HUXLEY Robots,34,51.21,52.00,29.05,3,,
48,rektguy,934,61.01,60.00,22.02,3,,
19,10KTF Gucci Grail,20,55.80,65.00,22.40,3,,
18,LilPudgys,145,48.46,49.99,26.95,3,,
22,Creepz by OVERLORD,219,54.22,50.00,16.96,3,,
42,OnChainMonkey,78,49.87,50.00,19.35,3,,
40,Doodles,160,50.68,39.00,34.89,3,,
28,Art Blocks x Pace,33,51.85,49.00,21.27,3,,
38,Chimpers,93,52.00,50.00,12.38,3,,
45,Akutars,25,51.84,52.00,25.54,3,,
37,Wolf Game,58,49.90,48.00,19.26,3,,
36,CyberKongz VX,82,54.43,42.00,20.52,3,,
35,Murakami.Flowers Official,27,57.64,50.00,34.95,3,,
21,Ethereum Name Service (ENS),59,32.74,25.00,29.00,4,,
33,mfer,37,28.31,30.00,16.75,4,,
67,Terraforms,59,26.43,24.00,10.68,4,,
2,Cool Cats,26,35.21,30.00,25.74,4,,
5,Moonbirds,81,36.42,33.00,15.77,4,,
8,BEANZ Official,113,32.77,33.00,21.63,4,,
57,DigiDaigaku Genesis,89,34.04,33.40,14.55,4,,
55,FLUF,97,35.65,35.00,20.19,4,,
26,MutantApeYachtClub,206,33.56,23.00,36.29,4,,
31,The Captainz,143,32.49,25.00,31.21,4,,
49,Bored Ape Yacht Club,93,30.17,15.00,45.89,4,,
43,VeeFriends,41,33.32,34.76,16.65,4,,
60,Otherside Koda,34,32.29,30.00,16.05,4,,
34,Meebits,134,35.07,38.00,12.84,4,,
