blockchain,project,version,block_date,block_time,token_bought_symbol,token_sold_symbol,token_pair,token_bought_amount,token_sold_amount,token_bought_amount_raw,token_sold_amount_raw,amount_usd,token_bought_address,token_sold_address,taker,maker,project_contract_address,tx_hash,tx_from,tx_to,trace_address,evt_index
optimism,uniswap,3,2023-04-27 00:00:00.000 UTC,2023-04-27 18:47:19.000 UTC,vBNB,vUSD,vBNB-vUSD,5.588647757676361,1878.7612838515547,5588647757676360700,1878761283851554700000,,0xb6599bd362120dc70d48409b8a08888807050700,0xc84da6c8ec7a57cd10b939e79eaf9d2d17834e04,0x82ac2ce43e33683c58be4cdc40975e73aa50f459,0x,0xf4d40ebcbf7063d4ff56c6df0179a86287c648de,0x595c4f9af35cf074547d22133d0982ebf5df63e546723c856ea4ba9689fa41ae,0xe80f80c5b83e45b71d8b67846d4eb62afe79fc8c,0x82ac2ce43e33683c58be4cdc40975e73aa50f459,,4
optimism,uniswap,3,2023-04-27 00:00:00.000 UTC,2023-04-27 18:46:34.000 UTC,USDC,WETH,USDC-WETH,1949.116646,1.0083133674470226,1949116646,1008313367447022590,,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x4200000000000000000000000000000000000006,0xe48b804ae8b7de2165109eb63e3e811dcc3b5882,0x,0x85149247691df622eaf1a8bd0cafd40bc45154a9,0xffeb1410456058136790143b957d4da07b5b27d79a7cc5002e6cc360960467bf,0x67799576403b6fdfe47751167318ea1a78fc2038,0xe48b804ae8b7de2165109eb63e3e811dcc3b5882,,9
fantom,spookyswap,1,2023-04-27 00:00:00.000 UTC,2023-04-27 18:46:38.000 UTC,DAI,WFTM,DAI-WFTM,6.408649130799741,14.728977210692118,6408649130799741174,14728977210692118528,,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0xc3f95f723921350cae9022b022e523f09454dc44,0x,0xe120ffbda0d14f3bb6d6053e90e63c572a66a428,0x577ead897d88a963a3a5dc56b6e3147cb12fef5455399148005c6b2c4e609e9c,0xda3203f71628632c454dc810abbcee16c5f7ef2e,0x76703141370677bf62645cbb8d85b57d5176f7a9,,15
optimism,velodrome,1,2023-04-27 00:00:00.000 UTC,2023-04-27 18:49:34.000 UTC,wstETH,OP,OP-wstETH,0.005552106582076303,5.396510711401675,5552106582076303,5396510711401674930,,0x1f32b1c2345538c0c6f582fcb022739c4a194ebb,0x4200000000000000000000000000000000000042,0x982fca92d06c355402de28827880ca2f239c1e85,0x,0x3905870e647c97cb9c8d99db24384f480531b5b9,0x0cc6a8cf215ab0cefa5b1df1b87b15e01f9cf26a6f9b73f17e2fea240b9a186a,0x58939670a7a0ab75975c493531c3ac0f0fd172e8,0x99ca76936ec36b0e65557e8b5b91b822c290c076,,486
ethereum,uniswap,2,2023-04-27 00:00:00.000 UTC,2023-04-27 18:51:11.000 UTC,WETH,,,0.013841747772591876,,13841747772591877,858400000000,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x77fc2e8c466ec873e6f574832e18b8db59cbe174,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x,0xf89845c5f812a6c71c0d15a4ddfeb8f60360e950,0x95719944b12afff4e3dd5589939fc1d7874e739e206433284181f204c1c44228,0x458bd026895b4af3c320ffd863b3fda8c65936c6,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,71
ethereum,uniswap,2,2023-04-27 00:00:00.000 UTC,2023-04-27 18:48:11.000 UTC,,WETH,,,0.05,1522882105856,50000000000000000,,0xc15e520e80ce9d3bfd2f3dacc902545d60804573,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb8a3dc49c8467359724182fc2f7bdefb6eca1b8b,0x,0xa1f4be1ad7233f8c4c843f326e631cecad0b620c,0xe84f298b9ef3ad4e7e66d09ccc24c41630ab1d3ed3b48b43dbbff68448fbcb82,0xb8a3dc49c8467359724182fc2f7bdefb6eca1b8b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,31
ethereum,uniswap,2,2023-04-27 00:00:00.000 UTC,2023-04-27 18:51:11.000 UTC,EXRD,USDC,EXRD-USDC,13971.172200417373,1562.5,13971172200417373192192,1562500000,,0x6468e79a80c0eab0f9a2b574c8d5bc374af59414,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x280027dd00ee0050d3f9d168efd6b40090009246,0x,0x684b00a5773679f88598a19976fbeb25a68e9a5f,0x5d9e7f51370c9fc5096412c3b104573dbf92a3086bb5205929fcf0e4a37a2804,0x077f6053a90449f43d28c38e00123829b1f4dfac,0x280027dd00ee0050d3f9d168efd6b40090009246,,50
ethereum,uniswap,2,2023-04-27 00:00:00.000 UTC,2023-04-27 18:50:11.000 UTC,,WETH,,,0.1,677631511014729,100000000000000000,,0xc3abdf4de3f3bf291343864b4befc169262a579b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x9aabaf21a6b6f1b89378336c0f94d3a8d021b8c0,0x,0xcb2681c5b669e3fcff3f3f537d19b33dfbe3281c,0x44b20f38b5f6086c00b61ce73c6102908e9e51940ef96a5dc5084c4e083c88d1,0x9aabaf21a6b6f1b89378336c0f94d3a8d021b8c0,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,,346
ethereum,uniswap,2,2023-04-27 00:00:00.000 UTC,2023-04-27 18:46:35.000 UTC,,WETH,,,0.05,30640084632812648343269,50000000000000000,,0xec196e38dbbbcb1e03bc0742908a385938555443,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd11ac40b4c2e7a6e15bb1188d97ebdc104c40430,0x,0xac31a7e1fdb91cfe992a0e4acd2c645687fd0cf5,0xa27179d6e45e46592b5c2daedfe8991a3c46d7fa7429c7157d08ed54e616c31f,0xd11ac40b4c2e7a6e15bb1188d97ebdc104c40430,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,,101
arbitrum,uniswap,3,2023-04-27 00:00:00.000 UTC,2023-04-27 18:47:59.000 UTC,WETH,ARB,ARB-WETH,2.0700829572595687,2770.1260286846277,2070082957259568640,2770126028684628000000,,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x912ce59144191c1204e64559fe8253a0e49e6548,0x3eef3d8abc4b4c5521cc4c58423c88e13f8ccc51,0x,0xc6f780497a95e246eb9449f5e4770916dcd6396a,0x26bb15fe99572a69721dd449a8ebc79068cd5c06031175499324ce8ab3d3b80b,0xea080f268d478da08f95c174374e4f0b374044a5,0x3eef3d8abc4b4c5521cc4c58423c88e13f8ccc51,,10
