dt,bend_borrow_volume,nftfi_borrow_volume,pine_borrow_volume,arcade_borrow_volume,jpegd_borrow_volume,drops_borrow_volume,x2y2_borrow_volume,paraspace_borrow_volume,total_borrow_volume,bend_cumu_borrow_volume,nftfi_cumu_borrow_volume,pine_cumu_borrow_volume,arcade_cumu_borrow_volume,jpegd_cumu_borrow_volume,drops_cumu_borrow_volume,x2y2_cumu_borrow_volume,paraspace_cumu_borrow_volume
2023-04-18 00:00,668349,1373828,27041,125727,0,31336,383064,2066214,4292495,303406413,396430154,5377573,70579576,5766841,5400157,79665389,256250167
2023-04-17 00:00,732575,734717,24772,193466,0,0,695445,2089018,3774548,302738064,395056326,5350532,70453849,5766841,5368821,79282325,254183953
2023-04-16 00:00,458291,917522,14478,34682,0,0,344608,2980916,4405889,302005489,394321609,5325760,70260383,5766841,5368821,78586880,252094935
2023-04-15 00:00,276215,607559,310,448749,0,852,447850,4063119,5396804,301547198,393404087,5311282,70225701,5766841,5368821,78242272,249114019
2023-04-14 00:00,763180,423635,56122,105010,0,2520,1140644,2863669,4214136,301270983,392796528,5310972,69776952,5766841,5367969,77794422,245050900
2023-04-13 00:00,738267,461926,35,202987,0,0,548912,2890926,4294141,300507803,392372893,5254850,69671942,5766841,5365449,76653778,242187231
2023-04-12 00:00,857499,1406529,0,1349512,0,757,915280,2060818,5675115,299769536,391910967,5254815,69468955,5766841,5365449,76104866,239296305
2023-04-11 00:00,421846,467608,27379,191328,0,0,1162262,3018302,4126463,298912037,390504438,5254815,68119443,5766841,5364692,75189586,237235487
2023-04-10 00:00,398607,700250,5,297822,0,10053,1070055,2450131,3856868,298490191,390036830,5227436,67928115,5766841,5364692,74027324,234217185
2023-04-09 00:00,253756,287860,8784,76916,0,555,625440,1082064,1709935,298091584,389336580,5227431,67630293,5766841,5354639,72957269,231767054
2023-04-08 00:00,199384,929515,338493,564726,0,933,903569,778359,2811410,297837828,389048720,5218647,67553377,5766841,5354084,72331829,230684990
2023-04-07 00:00,527527,586878,220680,316368,0,102,1452694,1461879,3113434,297638444,388119205,4880154,66988651,5766841,5353151,71428260,229906631
2023-04-06 00:00,621277,764452,6238,337352,0,9214,1229779,1146837,2885370,297110917,387532327,4659474,66672283,5766841,5353049,69975566,228444752
2023-04-05 00:00,640028,1872332,0,166932,0,20996,1331187,1772582,4472870,296489640,386767875,4653236,66334931,5766841,5343835,68745787,227297915
2023-04-04 00:00,107808,313239,0,118423,0,0,602046,1669217,2208687,295849612,384895543,4653236,66167999,5766841,5322839,67414600,225525333
2023-04-03 00:00,814386,303084,19426,102887,0,27610,515584,1391877,2659270,295741804,384582304,4653236,66049576,5766841,5322839,66812554,223856116
2023-04-02 00:00,708082,814923,117246,139639,0,5432,846898,2204227,3989549,294927418,384279220,4633810,65946689,5766841,5295229,66296970,222464239
2023-04-01 00:00,543265,293331,50029,270180,0,4060,604736,4383994,5544859,294219336,383464297,4516564,65807050,5766841,5289797,65450072,220260012
2023-03-31 00:00,656029,677198,18059,127590,0,0,842484,1830468,3309344,293676071,383170966,4466535,65536870,5766841,5285737,64845336,215876018
2023-03-30 00:00,124467,390460,14760,273415,0,3590,980967,1380514,2187206,293020042,382493768,4448476,65409280,5766841,5285737,64002852,214045550
2023-03-29 00:00,191998,417784,0,1684153,0,0,695786,1131227,3425162,292895575,382103308,4433716,65135865,5766841,5282147,63021885,212665036
2023-03-28 00:00,214103,1273977,24569,10573,0,0,766397,1517981,3041203,292703577,381685524,4433716,63451712,5766841,5282147,62326099,211533809
2023-03-27 00:00,386026,713492,0,84318,0,0,432573,1271614,2455450,292489474,380411547,4409147,63441139,5766841,5282147,61559702,210015828
2023-03-26 00:00,868988,939059,92,24853,0,18712,509178,2383197,4234901,292103448,379698055,4409147,63356821,5766841,5282147,61127129,208744214
2023-03-25 00:00,961845,1134482,13335,64271,0,1224,840616,1098221,3273378,291234460,378758996,4409055,63331968,5766841,5263435,60617951,206361017
2023-03-24 00:00,198186,394644,0,224102,0,24073,854674,0,841005,290272615,377624514,4395720,63267697,5766841,5262211,59777335,205262796
2023-03-23 00:00,528271,588042,0,274087,0,0,1036057,0,1390400,290074429,377229870,4395720,63043595,5766841,5238138,58922661,205262796
2023-03-22 00:00,983168,467261,0,158858,0,0,799177,0,1609287,289546158,376641828,4395720,62769508,5766841,5238138,57886604,205262796
2023-03-21 00:00,1113574,855230,0,324783,0,0,316417,0,2293587,288562990,376174567,4395720,62610650,5766841,5238138,57087427,205262796
2023-03-20 00:00,990349,1259013,3433,2099433,0,1700,387860,0,4353928,287449416,375319337,4395720,62285867,5766841,5238138,56771010,205262796
2023-03-19 00:00,638932,1369534,20,77287,0,13268,398045,0,2099041,286459067,374060324,4392287,60186434,5766841,5236438,56383150,205262796
2023-03-18 00:00,1654696,473885,0,121105,0,0,588667,0,2249686,285820135,372690790,4392267,60109147,5766841,5223170,55985105,205262796
2023-03-17 00:00,700627,466045,0,106644,0,2190,546001,146785473,148060979,284165439,372216905,4392267,59988042,5766841,5223170,55396438,205262796
2023-03-16 00:00,1281490,556376,0,28973,0,3200,572242,1689454,3559493,283464812,371750860,4392267,59881398,5766841,5220980,54850437,58477323
2023-03-15 00:00,1190095,759050,0,671,0,10775,842565,767452,2728043,282183322,371194484,4392267,59852425,5766841,5217780,54278195,56787869
2023-03-14 00:00,559284,1352837,4,1538145,0,1535,574624,1269959,4721764,280993227,370435434,4392267,59851754,5766841,5207005,53435630,56020417
2023-03-13 00:00,1500213,499350,3834,161635,0,0,1037181,730324,2895356,280433943,369082597,4392263,58313609,5766841,5205470,52861006,54750458
2023-03-12 00:00,233192,362407,3163,580,0,7460,265742,1856725,2463527,278933730,368583247,4388429,58151974,5766841,5205470,51823825,54020134
2023-03-11 00:00,1195162,793925,226,1260,0,0,637506,3737814,5728387,278700538,368220840,4385266,58151394,5766841,5198010,51558083,52163409
2023-03-10 00:00,1023695,808492,2412,79296,0,12863,902266,1785020,3711778,277505376,367426915,4385040,58150134,5766841,5198010,50920577,48425595
2023-03-09 00:00,913793,2385167,0,167139,0,456,496265,861111,4327666,276481681,366618423,4382628,58070838,5766841,5185147,50018311,46640575
2023-03-08 00:00,683886,597376,0,202864,0,855,1100685,1205738,2690719,275567888,364233256,4382628,57903699,5766841,5184691,49522046,45779464
2023-03-07 00:00,2354948,906240,0,104849,0,23579,988111,368945,3758561,274884002,363635880,4382628,57700835,5766841,5183836,48421361,44573726
2023-03-06 00:00,1891209,641901,187,30711,0,7015,500275,925505,3496528,272529054,362729640,4382628,57595986,5766841,5160257,47433250,44204781
2023-03-05 00:00,379527,486207,3316,52992,0,0,398886,634450,1556492,270637845,362087739,4382441,57565275,5766841,5153242,46932975,43279276
2023-03-04 00:00,802410,557947,66,290274,0,9409,645406,1279350,2939456,270258318,361601532,4379125,57512283,5766841,5153242,46534089,42644826
2023-03-03 00:00,2136932,835648,1595,156450,0,300,644079,1803375,4934300,269455908,361043585,4379059,57222009,5766841,5143833,45888683,41365476
2023-03-02 00:00,1390165,566595,0,51336,0,10103,476486,1196374,3214573,267318976,360207937,4377464,57065559,5766841,5143533,45244604,39562101
2023-03-01 00:00,1648850,1040723,0,544453,0,0,672091,1042108,4276134,265928811,359641342,4377464,57014223,5766841,5133430,44768118,38365727
2023-02-28 00:00,2322704,792767,0,204727,0,0,638859,931962,4252160,264279961,358600619,4377464,56469770,5766841,5133430,44096027,37323619
2023-02-27 00:00,2443302,1610557,0,1320229,0,33906,394575,928225,6336219,261957257,357807852,4377464,56265043,5766841,5133430,43457168,36391657
