dt_f,dt,bend_borrow_volume,nftfi_borrow_volume,pine_borrow_volume,arcade_borrow_volume,jpegd_borrow_volume,drops_borrow_volume,x2y2_borrow_volume,paraspace_borrow_volume,cumu_borrow_volume_bend,cumu_borrow_volume_nftfi,cumu_borrow_volume_pine,cumu_borrow_volume_arcade,cumu_borrow_volume_jpegd,cumu_borrow_volume_drops,cumu_borrow_volume_x2y2,cumu_borrow_volume_paraspace,dt (1),bend_repay_volume,nftfi_repay_volume,pine_repay_volume,arcade_repay_volume,jpegd_repay_volume,drops_repay_volume,x2y2_repay_volume,paraspace_repay_volume,cumu_repay_volume_bend,cumu_repay_volume_nftfi,cumu_repay_volume_pine,cumu_repay_volume_arcade,cumu_repay_volume_jpegd,cumu_repay_volume_drops,cumu_repay_volume_x2y2,cumu_repay_volume_paraspace,dt (2),bend_borrow_count,nftfi_borrow_count,pine_borrow_count,arcade_borrow_count,jpegd_borrow_count,drops_borrow_count,x2y2_borrow_count,paraspace_borrow_count,dt (3),bend_repay_count,nftfi_repay_count,pine_repay_count,arcade_repay_count,jpegd_repay_count,drops_repay_count,x2y2_repay_count,paraspace_repay_count
2023-01-14 00:00,2023-01-14 00:00,774329.0942863515,705367.331758043,3.1247517262223514,153533.8756250001,0,0,589108.3929671277,465520.2246401392,207708963.6096601,319853507.6693903,4135158.362468443,42499194.42429723,5696804.734203777,4966384.806407108,20985617.824539296,6872167.201855331,2023-01-14 00:00,2563621.43938199,619668.1237549818,915.6307208681382,98416.72631875,0,0,530330.6653878421,58398.75267083793,150078831.40287682,263030492.870267,1862299.2965460964,31926793.402161628,4759717.616898517,4169441.952649589,17523275.88688268,2680654.658314674,2023-01-14 00:00,26,111,2,9,0,0,102,29,2023-01-14 00:00,45,78,4,6,0,0,91,22
2023-01-15 00:00,2023-01-15 00:00,518519.1197053299,874639.3391319728,2865.453949850016,54744.93582000002,1560,0,243995.58773375174,563794.6794562613,208227482.7293654,320728147.0085223,4138023.816418293,42553939.36011723,5698364.734203777,4966384.806407108,21229613.41227305,7435961.881311592,2023-01-15 00:00,1140733.5443818506,512092.36526079034,0,108012.37611944458,0,0,143904.28624693255,112588.02511921269,151219564.94725868,263542585.23552778,1862299.2965460964,32034805.778281074,4759717.616898517,4169441.952649589,17667180.173129614,2793242.6834338866,2023-01-15 00:00,16,124,3,7,2,0,69,24,2023-01-15 00:00,60,75,0,4,0,0,50,15
2023-01-16 00:00,2023-01-16 00:00,878944.6482319811,1257088.718696074,3399.4110291834627,121360.38518375013,10000,1328.2493774305594,511161.14644088683,67540.46121837855,209106427.3775974,321985235.72721833,4141423.2274474762,42675299.74530098,5708364.734203777,4967713.055784538,21740774.558713935,7503502.34252997,2023-01-16 00:00,872716.3073978891,1118890.3238189705,1.5830794897527547,15000,10000.005859969559,0,501686.4875396289,126218.002706006,152092281.25465658,264661475.55934677,1862300.879625586,32049805.778281074,4769717.622758486,4169441.952649589,18168866.660669245,2919460.686139893,2023-01-16 00:00,41,112,2,8,1,1,98,10,2023-01-16 00:00,48,90,2,1,1,0,73,15
2023-01-17 00:00,2023-01-17 00:00,508377.2632277346,801465.1890573032,1219.0160179867325,68466.68266666675,0,0,501685.93755283044,260346.27443225586,209614804.64082512,322786700.9162756,4142642.243465463,42743766.427967645,5708364.734203777,4967713.055784538,22242460.496266767,7763848.616962226,2023-01-17 00:00,542328.0768928286,1003973.4783943883,997.9790002560018,69984.96512000011,0,1100.4035372586686,199257.1499923664,451425.1890562765,152634609.3315494,265665449.03774115,1863298.858625842,32119790.743401073,4769717.622758486,4170542.3561868477,18368123.81066161,3370885.875196169,2023-01-17 00:00,26,143,2,11,0,0,110,20,2023-01-17 00:00,40,79,2,5,0,1,49,36
2023-01-18 00:00,2023-01-18 00:00,2396756.4053910957,1611000.8661788984,1553.0181771673822,149404.41132086058,550,8482.815868055533,506660.3962166294,1174555.0767214855,212011561.04621622,324397701.7824545,4144195.2616426307,42893170.8392885,5708914.734203777,4976195.871652594,22749120.8924834,8938403.693683712,2023-01-18 00:00,2539308.6550438353,669790.5404889686,860.4039342121201,9361.35242916664,0,783.2672423163164,343086.7914950466,423367.89760454197,155173917.98659325,266335239.5782301,1864159.2625600542,32129152.09583024,4769717.622758486,4171325.623429164,18711210.602156658,3794253.772800711,2023-01-18 00:00,59,176,4,13,1,2,76,53,2023-01-18 00:00,128,94,5,3,0,1,58,30
2023-01-19 00:00,2023-01-19 00:00,1456349.590922788,1288481.2582902445,10180.029948652322,1808808.130411455,0,0,505815.9781663236,2185951.3216932686,213467910.63713902,325686183.0407447,4154375.291591283,44701978.96969996,5708914.734203777,4976195.871652594,23254936.87064972,11124355.015376981,2023-01-19 00:00,1832060.317959118,633609.0058208578,1212.1852891465674,195899.37193909698,0,3065.5093075643003,593239.4011946456,647739.0109220173,157005978.30455238,266968848.58405098,1865371.4478492008,32325051.467769336,4769717.622758486,4174391.132736728,19304450.003351305,4441992.7837227285,2023-01-19 00:00,82,222,9,11,0,0,115,88,2023-01-19 00:00,121,82,4,5,0,1,95,38
2023-01-20 00:00,2023-01-20 00:00,1404014.1350997016,711863.461472776,3644.694387400391,159389.58531666666,0,0,391486.14538390446,612287.7008162813,214871924.77223873,326398046.5022175,4158019.9859786835,44861368.55501662,5708914.734203777,4976195.871652594,23646423.016033627,11736642.716193262,2023-01-20 00:00,1147901.0577657854,726103.8206879627,283.8234951524746,98848.25820833333,0,7868.575143297916,436177.0684218106,199671.92171350226,158153879.36231816,267694952.40473893,1865655.2713443532,32423899.72597767,4769717.622758486,4182259.707880026,19740627.071773116,4641664.705436231,2023-01-20 00:00,55,107,4,12,0,0,73,42,2023-01-20 00:00,47,68,2,3,0,1,62,28
2023-01-21 00:00,2023-01-21 00:00,1526110.367626731,690276.3607367071,744.2923187499991,202167.74539583322,1600,0,319512.8623264637,1079279.6848556953,216398035.13986546,327088322.8629542,4158764.2782974336,45063536.30041245,5710514.734203777,4976195.871652594,23965935.878360093,12815922.401048958,2023-01-21 00:00,634778.6433769923,627427.3605568475,0,7200,0,2224.9040665805546,594479.1661285851,482633.5543486416,158788658.00569516,268322379.76529577,1865655.2713443532,32431099.72597767,4769717.622758486,4184484.6119466065,20335106.237901703,5124298.259784873,2023-01-21 00:00,46,98,1,11,1,0,75,40,2023-01-21 00:00,39,109,0,2,0,2,72,22
2023-01-22 00:00,2023-01-22 00:00,1226647.943151119,1940027.5512036097,923.1596982342649,195646.91163020846,0,0,303258.64401175804,720941.9866208922,217624683.08301657,329028350.4141578,4159687.437995668,45259183.21204266,5710514.734203777,4976195.871652594,24269194.52237185,13536864.38766985,2023-01-22 00:00,877881.6413174124,1487207.0599248994,923.1700202175551,6526.9588055555605,0,0,407212.1563649,169007.12735235403,159666539.6470126,269809586.82522064,1866578.4413645708,32437626.684783228,4769717.622758486,4184484.6119466065,20742318.3942666,5293305.387137227,2023-01-22 00:00,52,165,2,9,0,0,56,42,2023-01-22 00:00,28,103,3,1,0,0,70,30
2023-01-23 00:00,2023-01-23 00:00,716832.9521939766,569547.5390239399,5502.66878998786,509182.35310319497,0,3264.8427361111144,315175.6460083705,353402.8499461211,218341516.03521055,329597897.95318174,4165190.106785656,45768365.56514586,5710514.734203777,4979460.714388705,24584370.168380223,13890267.23761597,2023-01-23 00:00,563612.8657670282,454313.42137284565,102.47100671683584,31938.358462500004,0,0,532944.668271159,231943.40535148393,160230152.51277962,270263900.2465935,1866680.9123712876,32469565.04324573,4769717.622758486,4184484.6119466065,21275263.06253776,5525248.792488711,2023-01-23 00:00,41,81,5,8,0,1,70,27,2023-01-23 00:00,28,77,2,3,0,0,71,27
