dt,bend_num_nft_liq,nftfi_num_nft_liq,pine_num_nft_liq,arcade_num_nft_liq,jpegd_num_nft_liq,drops_num_nft_liq,x2y2_num_nft_liq,total_liq,bend_cumu_nft_liq,nftfi_cumu_nft_liq,pine_cumu_nft_liq,arcade_cumu_nft_liq,jpegd_cumu_nft_liq,drops_cumu_nft_liq,x2y2_cumu_nft_liq
2023-04-13 00:00,0,11,0,0,0,0,0,11,211,13036,71,102,5,27,430
2023-04-12 00:00,0,39,0,0,0,0,0,39,211,13025,71,102,5,27,430
2023-04-11 00:00,0,64,0,0,0,0,0,64,211,12986,71,102,5,27,430
2023-04-11 00:00,0,0,0,1,0,0,0,1,211,12922,71,102,5,27,430
2023-04-10 00:00,0,0,0,1,0,0,0,1,211,12877,71,101,5,27,430
2023-04-10 00:00,0,45,0,0,0,0,0,45,211,12922,71,101,5,27,430
2023-04-09 00:00,0,37,0,0,0,0,0,37,211,12877,71,100,5,27,430
2023-04-08 00:00,0,0,0,1,0,0,0,1,211,12840,71,100,5,27,430
2023-04-08 00:00,0,72,0,0,0,0,0,72,211,12840,71,99,5,27,430
2023-04-07 00:00,3,66,0,0,0,1,0,70,211,12768,71,99,5,27,430
2023-04-06 00:00,1,61,0,1,0,0,0,63,208,12702,71,99,5,26,430
2023-04-05 00:00,0,0,0,1,0,0,0,1,207,12573,71,98,5,26,430
2023-04-05 00:00,0,68,0,0,0,0,0,68,207,12641,71,98,5,26,430
2023-04-04 00:00,0,35,0,0,0,0,0,35,207,12573,71,97,5,26,430
2023-04-03 00:00,0,42,0,0,0,0,0,42,207,12538,71,97,5,25,430
2023-04-03 00:00,0,0,0,0,0,1,0,1,207,12538,71,97,5,26,430
2023-04-03 00:00,0,0,0,1,0,0,0,1,207,12496,71,97,5,25,430
2023-04-02 00:00,0,50,0,0,0,0,0,50,207,12496,71,96,5,25,430
2023-04-02 00:00,0,0,0,4,0,0,0,4,207,12446,71,96,5,25,430
