dt,bend_users,nftfi_users,pine_users,arcade_users,jpegd_users,drops_users,x2y2_users,paraspace_users,cumu_bend_users,cumu_nftfi_users,cumu_pine_users,cumu_arcade_users,cumu_jpegd_users,cumu_drops_users,cumu_x2y2_users,cumu_paraspace_users
2023-04-18 00:00,35,31,2,1,0,2,36,61,12408,26914,1465,1018,415,362,7693,7651
2023-04-17 00:00,42,60,1,3,0,0,55,115,12373,26883,1463,1017,415,360,7657,7590
2023-04-16 00:00,51,65,3,3,1,0,38,136,12331,26823,1462,1014,415,360,7602,7475
2023-04-15 00:00,53,60,3,1,0,1,54,169,12280,26758,1459,1011,414,360,7564,7339
2023-04-14 00:00,80,69,6,4,0,0,66,155,12227,26698,1456,1010,414,359,7510,7170
2023-04-13 00:00,71,48,3,3,0,0,54,189,12147,26629,1450,1006,414,359,7444,7015
2023-04-12 00:00,33,61,1,2,0,1,67,91,12076,26581,1447,1003,414,359,7390,6826
2023-04-11 00:00,33,52,2,2,0,0,64,73,12043,26520,1446,1001,414,358,7323,6735
2023-04-10 00:00,35,78,4,2,0,2,58,90,12010,26468,1444,999,414,358,7259,6662
2023-04-09 00:00,26,47,7,1,0,0,38,162,11975,26390,1440,997,414,356,7201,6572
2023-04-08 00:00,23,70,5,3,0,1,53,87,11949,26343,1433,996,414,356,7163,6410
2023-04-07 00:00,44,75,5,2,0,1,66,116,11926,26273,1428,993,414,355,7110,6323
2023-04-06 00:00,65,77,2,6,0,1,68,141,11882,26198,1423,991,414,354,7044,6207
2023-04-05 00:00,29,59,2,2,0,1,64,96,11817,26121,1421,985,414,353,6976,6066
2023-04-04 00:00,24,50,1,2,0,0,57,73,11788,26062,1419,983,414,352,6912,5970
2023-04-03 00:00,43,65,4,0,0,1,59,191,11764,26012,1418,981,414,352,6855,5897
2023-04-02 00:00,36,73,7,3,0,1,56,175,11721,25947,1414,981,414,351,6796,5706
2023-04-01 00:00,33,57,4,6,0,2,51,60,11685,25874,1407,978,414,350,6740,5531
2023-03-31 00:00,33,67,3,8,0,0,65,89,11652,25817,1403,972,414,348,6689,5471
2023-03-30 00:00,25,60,2,2,0,1,56,55,11619,25750,1400,964,414,348,6624,5382
2023-03-29 00:00,40,53,1,3,0,0,54,39,11594,25690,1398,962,414,347,6568,5327
2023-03-28 00:00,34,76,11,1,0,0,49,205,11554,25637,1397,959,414,347,6514,5288
2023-03-27 00:00,36,51,0,4,0,0,40,50,11520,25561,1386,958,414,347,6465,5083
2023-03-26 00:00,35,65,2,4,0,2,41,79,11484,25510,1386,954,414,347,6425,5033
2023-03-25 00:00,50,63,3,5,0,1,61,121,11449,25445,1384,950,414,345,6384,4954
2023-03-24 00:00,61,62,0,2,0,3,59,39,11399,25382,1381,945,414,344,6323,4833
2023-03-23 00:00,77,60,2,4,0,0,53,38,11338,25320,1381,943,414,341,6264,4794
2023-03-22 00:00,80,69,0,4,0,0,52,279,11261,25260,1379,939,414,341,6211,4756
2023-03-21 00:00,66,68,0,6,0,0,35,11,11181,25191,1379,935,414,341,6159,4477
2023-03-20 00:00,56,63,1,7,0,1,39,10,11115,25123,1379,929,414,341,6124,4466
2023-03-19 00:00,63,80,2,1,0,1,37,2,11059,25060,1378,922,414,340,6085,4456
2023-03-18 00:00,66,74,1,3,0,0,49,0,10996,24980,1376,921,414,339,6048,4454
2023-03-17 00:00,49,67,0,4,0,2,48,53,10930,24906,1375,918,414,339,5999,4454
2023-03-16 00:00,56,68,1,4,0,1,65,84,10881,24839,1375,914,414,337,5951,4401
2023-03-15 00:00,72,80,0,6,0,1,66,101,10825,24771,1374,910,414,336,5886,4317
2023-03-14 00:00,40,66,3,1,0,0,47,132,10753,24691,1374,904,414,335,5820,4216
2023-03-13 00:00,53,74,2,4,0,0,59,116,10713,24625,1371,903,414,335,5773,4084
2023-03-12 00:00,53,77,2,1,0,1,48,185,10660,24551,1369,899,414,335,5714,3968
2023-03-11 00:00,50,71,2,2,0,0,48,69,10607,24474,1367,898,414,334,5666,3783
2023-03-10 00:00,58,84,3,1,0,2,67,186,10557,24403,1365,896,414,334,5618,3714
2023-03-09 00:00,37,78,0,2,0,1,59,128,10499,24319,1362,895,414,332,5551,3528
