company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,total_funding,product_url,indeed_url,growth_percentage
OpenAI,openai.com,San Francisco,CA,United States,655,http://www.linkedin.com/company/openai,2015,AI,1,88722200,25,"Artificial Intelligence, Online Gaming, Non Profit","Thrive, Founders Fund",,,29000000000,$11B,11000000000,https://www.growjo.com/company/OpenAI,https://www.indeed.com/jobs?q=company%3A(OpenAI),1.18
Anthropic,anthropic.com,San Francisco,CA,USA,131,http://www.linkedin.com/company/anthropicresearch,,AI,2,15400000,1,,,,,4400000000,$1.3B,1300000000,https://www.growjo.com/company/Anthropic,https://www.indeed.com/jobs?q=company%3A(Anthropic),1.38
Hugging Face,huggingface.co,New York,NY,United States,200,http://www.linkedin.com/company/huggingface,2016,AI,5,31605000,1,"Open Source, Machine Learning, Artificial Intelligence, Natural Language Processing, Technology",Lux Capital,,,2000000000,$60.2M,60200000,https://www.growjo.com/company/Hugging_Face,https://www.indeed.com/jobs?q=company%3A(Hugging Face),0.49
Weka.IO,weka.io,Campbell,CA,United States,325,http://www.linkedin.com/company/weka-io,2014,AI,4,62795150,6,"Data Storage,Physical Storage,Storage",Generation Investment Management,,B2B,750000000,$158.9M,158900000,https://www.growjo.com/company/Weka.IO,https://www.indeed.com/jobs?q=company%3A(Weka.IO),1.14
Animoca Brands,animocabrands.com,Southern,,Hong Kong,236,http://www.linkedin.com/company/animoca-brands,2014,AI,5,37324000,1,,"Liberty City Ventures, 10T, Kingsway",,,5900000000,$675.3M,675300000,https://www.growjo.com/company/Animoca_Brands,https://www.indeed.com/jobs?q=company%3A(Animoca Brands),0.52
Stability AI,stability.ai,London,,UK,138,http://www.linkedin.com/company/stability-ai,,AI,4,16800000,1,,"Coatue Management, Lightspeed Venture Partners",,,1000000000,,,https://www.growjo.com/company/Stability_AI,https://www.indeed.com/jobs?q=company%3A(Stability AI),3.31
SparkCognition,sparkcognition.com,Austin,TX,United States,359,http://www.linkedin.com/company/sparkcognition,2013,AI,3,67030600,1,,"March Capital, Doha Venture Capital, B. Riley Venture Capital",,,1400000000,$286.6M,286600000,https://www.growjo.com/company/SparkCognition,https://www.indeed.com/jobs?q=company%3A(SparkCognition),0.14
Replicant,replicant.ai,San Francisco,CA,United States,152,http://www.linkedin.com/company/replicant,2017,AI,20,24080000,8,"Machine Learning, Artificial Intelligence, Call Center Automation",Stripes,,,550000000,$35M,35000000,https://www.growjo.com/company/Replicant,https://www.indeed.com/jobs?q=company%3A(Replicant),0.5
Jasper,jasper.ai,Austin,TX,United States,411,http://www.linkedin.com/company/heyjasperai,2020,AI,4,65608200,0,,Insight Partners,,,1500000000,,,https://www.growjo.com/company/Jasper,https://www.indeed.com/jobs?q=company%3A(Jasper),3.78
Glia,glia.com,New York,NY,United States,338,http://www.linkedin.com/company/gliainc,2012,AI,13,63119000,1,saas,Insight,,,1000000000,$107M,107000000,https://www.growjo.com/company/Glia,https://www.indeed.com/jobs?q=company%3A(Glia),0.56
